Id,SalePrice
1461,111737.09074281642
1462,160048.70879840766
1463,253922.53886647074
1464,191433.54319533907
1465,156055.01366827826
1466,190970.08120584968
1467,222930.39393745796
1468,180042.57171703235
1469,193270.78158705996
1470,76799.544119663
1471,49272.81083442284
1472,52418.26254619796
1473,103286.63403407528
1474,123290.6361486989
1475,52829.41214094587
1476,249467.02482386827
1477,391937.2274744874
1478,306941.1734321525
1479,209869.8893012289
1480,812253.8647275015
1481,310796.46450909757
1482,152621.05832091678
1483,258742.29876505493
1484,78819.15300447881
1485,206877.1310915738
1486,161898.98418178374
1487,214159.4931504598
1488,775305.7426051636
1489,220449.93768871456
1490,246914.54973511212
1491,192231.0190540672
1492,58221.23842555056
1493,89003.98778868995
1494,309940.917289696
1495,263494.68794133875
1496,193871.33914102396
1497,148491.25462263823
1498,122003.18192136202
1499,81383.43099422312
1500,131419.48921626032
1501,286244.0602394215
1502,110527.1738768123
1503,227131.0476389533
1504,197818.3770928392
1505,274088.9824045887
1506,307345.5852101923
1507,363134.7322683552
1508,308458.32268475636
1509,166276.40701222527
1510,213422.53041436753
1511,189643.61194427774
1512,251092.40026084898
1513,178869.11162951417
1514,325461.1698051848
1515,605048.084897587
1516,173693.3997689329
1517,242672.80574141222
1518,243247.9608917611
1519,377926.65850952466
1520,118273.62261796407
1521,177426.3299524207
1522,283285.9388371524
1523,128623.43124576393
1524,171668.07900056549
1525,161269.34389367956
1526,132112.75058251462
1527,105200.94713627036
1528,102868.0101611911
1529,190189.51896911487
1530,333744.1839399863
1531,55446.96711060655
1532,84690.53951659155
1533,269903.8498450532
1534,122800.93012746754
1535,119048.61006996868
1536,77686.68012695677
1537,23390.04419561034
1538,120717.48069474516
1539,96796.24303783398
1540,259141.16077674812
1541,297914.03349508916
1542,252224.6460994432
1543,113081.42805682874
1544,47564.175926794866
1545,66850.7939848853
1546,258355.8782961934
1547,144048.8096382618
1548,200508.92481819575
1549,91519.08035563519
1550,170782.54038805657
1551,51909.44167369396
1552,202966.91096455985
1553,157039.75398812388
1554,111048.58040848158
1555,172659.35377942532
1556,9601.021652275791
1557,76673.13609632684
1558,77100.07701690118
1559,22987.209369237833
1560,45849.87406180735
1561,333473.2482190282
1562,94726.23735185881
1563,101991.69395890257
1564,119513.34226230548
1565,150873.02371522793
1566,291793.20927516423
1567,45806.453899893655
1568,183168.0420997007
1569,443566.76681590464
1570,118988.24085131119
1571,73587.48435851745
1572,220394.812483619
1573,242679.55556069312
1574,133450.7073825143
1575,178949.76200764644
1576,239091.64924673238
1577,109222.93206427572
1578,113181.44492113825
1579,145958.27756462415
1580,155804.5939376692
1581,170981.8918515069
1582,152835.96869019288
1583,513008.42934848735
1584,205625.37345655196
1585,113646.71471947174
1586,54798.03608497279
1587,78409.20923428715
1588,220118.16578513823
1589,131445.56453581143
1590,106278.3118863188
1591,115076.35599823878
1592,123551.339741368
1593,176262.76739740424
1594,152899.9730356726
1595,44506.79155180659
1596,230337.22498282883
1597,292557.5247809815
1598,280480.33462675917
1599,125103.4568288263
1600,120059.89355269606
1601,59742.42065467658
1602,136812.63753732157
1603,4173.724546786493
1604,184449.10222696143
1605,250416.71535723915
1606,155095.43534452037
1607,266019.1169382676
1608,194050.61952242436
1609,232154.18750641332
1610,212659.03554620044
1611,119831.64366288173
1612,186973.45253843503
1613,265629.09934050543
1614,143340.4188021038
1615,91335.91555066561
1616,75596.9620382927
1617,107678.78531782285
1618,100058.50185077266
1619,165560.17919627484
1620,303614.5749338021
1621,148535.84279260584
1622,223016.92350902242
1623,505274.1726813785
1624,202409.8354613109
1625,86686.5276999131
1626,327864.9982534974
1627,194520.96253532253
1628,298098.1643746714
1629,165223.11244830818
1630,374403.1717583767
1631,348744.6610993424
1632,375474.2573591258
1633,185141.07691343795
1634,227577.24799444844
1635,161844.55251902936
1636,114322.23797281538
1637,191702.45862128254
1638,142290.28015026587
1639,229453.81797269266
1640,179236.47570362932
1641,185356.19710019097
1642,126726.5410804078
1643,142082.54542315245
1644,147262.14551390326
1645,201979.22884888094
1646,131986.10448314826
1647,169300.04212434517
1648,120084.12880641673
1649,103495.2360920088
1650,154184.71047481138
1651,167940.29639318804
1652,84242.08772754407
1653,85076.97433341104
1654,106222.82346354374
1655,67785.15885258307
1656,110051.81088077796
1657,144694.64783143008
1658,100001.61448083738
1659,89512.48532950219
1660,185120.00087020607
1661,617325.4182749875
1662,583386.20577679
1663,320712.05614482646
1664,374900.827991945
1665,208444.18689706927
1666,641684.5583178977
1667,230083.93251993204
1668,211911.81772889025
1669,286289.40312520496
1670,751236.1469646865
1671,413819.92987962253
1672,818486.6894584142
